2026-06-29 10:03:21,636 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/IMG_20260628_113812.jpg
2026-06-29 10:03:21,648 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/IMG_20260628_113828.jpg
2026-06-29 10:03:21,664 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tepi klipeus bulat.png
2026-06-29 10:03:21,701 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tepi klipeus bulat.png
2026-06-29 10:03:21,701 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tepi klipeus briefly truncated.png
2026-06-29 10:03:21,713 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tepi klipeus briefly truncated.png
2026-06-29 10:03:21,716 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tepi klipeus truncated.png
2026-06-29 10:03:21,716 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tepi klipeus truncated.png
2026-06-29 10:03:21,728 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tepi klipeus notched.png
2026-06-29 10:03:21,728 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tepi klipeus notched.png
2026-06-29 10:03:21,744 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Gena angulate.png
2026-06-29 10:03:21,763 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Gena angulate.png
2026-06-29 10:03:21,763 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Gena rounded.png
2026-06-29 10:03:21,763 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Gena rounded.png
2026-06-29 10:03:21,780 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Frontal karina long.png
2026-06-29 10:03:21,780 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Frontal karina long.png
2026-06-29 10:03:21,780 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Frontal karina short.png
2026-06-29 10:03:21,780 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Frontal karina short.png
2026-06-29 10:03:21,792 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Frontal karina 2 protuberances.png
2026-06-29 10:03:21,792 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Frontal karina 2 protuberances.png
2026-06-29 10:03:21,792 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Frontal karina absent.png
2026-06-29 10:03:21,792 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Frontal karina absent.png
2026-06-29 10:03:21,824 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna hitam.png
2026-06-29 10:03:21,824 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna hitam.png
2026-06-29 10:03:21,824 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna kilapan hijau.png
2026-06-29 10:03:21,840 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna kilapan hijau.png
2026-06-29 10:03:21,855 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna coklat.png
2026-06-29 10:03:21,855 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna coklat.png
2026-06-29 10:03:21,855 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna hitam atau coklat dengan pola kuning.png
2026-06-29 10:03:21,855 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna hitam atau coklat dengan pola kuning.png
2026-06-29 10:03:21,871 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna coklat dengan bintik hitam.png
2026-06-29 10:03:21,871 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna coklat dengan bintik hitam.png
2026-06-29 10:03:21,887 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tonjolan 1.png
2026-06-29 10:03:21,887 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tonjolan 1.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tonjolan 2.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tonjolan 2.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tonjolan 3.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tonjolan 3.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Tonjolan tidak ada.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Tonjolan tidak ada.png
2026-06-29 10:03:21,903 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/3 gigi tepi luar.png
